,periodoA,osf,categoria,p1_a,p1_b,p1_e,p1_g,p1_h,p1_i,p2,p4,p5_a,p5_b,p5_c,p5_e,p6,p6.1,evaluacion,comentarios
3333,1,"SAIIS, Sociedad de Alumnos de Ingeniero Industrial y de Sistemas",Sociedad de Alumnos ITESM,4,3,3,3,2,2,False,2,3,4,4,4,0,False,2,"['atencion', 'veces', 'se']"
3334,1,Fundacionplan.org - Plan SPAP A.C.,ONG - Humanitaria,5,5,5,5,5,5,True,0,5,5,5,5,5,True,5,"['ayudar', 'vida', 'cuando', 'fuimos', 'se', 'muy', 'no', 'gran', 'parque', 'grande', 'eso', 'muy']"
3335,1,"UNAC, Unidos por el Arte contra el Cáncer Infantil, A.C.",ONG - Humanitaria,3,3,4,3,4,4,True,2,5,5,5,5,2,False,4,[]
3336,1,Fundacionplan.org - Plan SPAP A.C.,ONG - Humanitaria,4,4,4,4,4,5,True,2,2,4,4,3,0,True,4,"['muy', 'seguir', 'ellos', 'dar']"
3337,1,"SAIIS, Sociedad de Alumnos de Ingeniero Industrial y de Sistemas",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,0,5,5,5,5,0,True,4,"['muy', 'ellos', 'tuve', 'muy', 'lleno', 'tenia']"
3338,1,Proyecto 99,ONG - Humanitaria,5,5,5,5,5,5,True,2,5,5,5,5,0,True,4,"['muy', 'adultos', 'personas']"
3339,1,"SAIIS, Sociedad de Alumnos de Ingeniero Industrial y de Sistemas",Sociedad de Alumnos ITESM,5,5,5,5,5,4,True,5,5,5,5,5,2,True,5,"['muy', 'bonita', 'muy', 'tuve']"
3340,1,Sacbé,ONG - Arte y cultura,2,2,1,2,2,4,False,0,3,3,3,3,0,False,2,"['empezar', 'no', 'dicen', 'va', 'horas', 'no', 'necesario', 'ni', 'ofrecer', 'no', 'contacto']"
3341,1,"CONAFE, Consejo Nacional de Fomento Educativo",ONG - Desarrollo humano,5,5,5,5,5,5,True,2,5,5,4,5,2,False,4,[]
3342,1,Pal Sur del Norte,ONG - Desarrollo humano,5,5,4,5,5,5,True,0,5,5,5,5,0,False,4,"['hoy', 'dia', 'mas', 'tenia', 'mas', 'seguir']"
3343,1,"CIBRUC, CENTRO DE INVESTIGACION SOBRE BIODIGESTION ANAEROBIA Y RESIDUOS URBANOS, A.C.",Investigación,5,5,4,5,5,5,True,2,5,5,5,5,0,True,4,"['haciendo', 'excelente', 'se', 'veces', 'poner', 'mas', 'atencion', 'ello']"
