osf,clase
"AMMJE, Asociación Mexicana de Mujeres Jefas de Empresa, A.C.",ONG - Desarrollo humano
LABNL | Laboratorio Cultural Ciudadano de CONARTE NL - Consejo para la Cultura y las Artes de Nuevo León,ONG - Arte y cultura
Thunder MX,Actividades recreativas
EN - Dirección de Programa LAF,Sociedad de Alumnos ITESM
"SAIDS, Sociedad de Alumnos de Ingeniero en Desarrollo Sustentable",Sociedad de Alumnos ITESM
"Inter-acción jóvenes por un futuro con oportunidades, A. C.",ONG - Humanitaria
EAAD - Impulso Urbano,ONG - Humanitaria
"Club Deportivo de Futból Americano Águilas, A.C.",Actividades recreativas
Clínica Penal del Departamento de Derecho,ONG - Política y leyes
"SAIRS, Sociedad de Alumnos de Ingeniería en Robótica y Sistemas Digitales",Sociedad de Alumnos ITESM
BMES - Biomedical Engineering Society,Investigación
Secretaría de Contraloría y Transparencia de San Pedro,ONG - Política y leyes
Instituto de Bienestar Integral,ONG - Humanitaria
H. CONGRESO DEL ESTADO DE NUEVO LEON,ONG - Política y leyes
Ecology Project International,ONG - Medio ambiente
"FUNDACION CLISA, A.C.",ONG - Humanitaria
"Patronato del Parque Rufino y Olga Tamayo, A.C. (San pedro parques)",ONG - Medio ambiente
Andar México,ONG - Humanitaria
Instituto Nacional de Antropología e Historia,ONG - Arte y cultura
"MARCO, Museo de Arte Contemporáneo, A.C.",ONG - Arte y cultura
"SAIMT, Sociedad de Alumnos de Ingeniería en Mecatrónica",Sociedad de Alumnos ITESM
Cambio de Juego,ONG - Desarrollo humano
ASOCIACION DE PSICOLOGOS DE NUEVO LEON,ONG - Humanitaria
wwleadership sc,Emprendimiento y desarrollo
ABACO Consultoría Financiera,ONG - Desarrollo humano
Red Recolector SA de CV,ONG - Medio ambiente
Impulso Deportivo y Academico S.C.,Actividades recreativas
SALAF- Sociedad de Alumnos de Administración Financiera,Sociedad de Alumnos ITESM
Zona Shero,ONG - Humanitaria
"Huellas que Trascienden, A.C.",Emprendimiento y desarrollo
Proyecto 99_Proyecto 99 - Logística,Emprendimiento y desarrollo
"Museo El Centenario, Ayuntamiento de San Pedro Garza García/Secretaría de Cultura y Educación de San Pedro Garza García, NL_Laboratorio de co-creación del acervo de Historia Oral - Museo del Centenario, SPGG",ONG - Arte y cultura
Fundación Sé Más_Organización de eventos de emprendimiento - Fundación Sé Más,Emprendimiento y desarrollo
"Consejo de Seguridad de la información y ciberseguridad, A.C._Cybersecurity App",ONG - Desarrollo humano
"Fundación El Mundo Escribe, A.C._El mundo escribe, somos lenguaje",ONG - Arte y cultura
"VIFAC, Vida y Familia Monterrey, A.B.P._VIFAC a tiempo",ONG - Humanitaria
"Tierra de Artistas, A.C._Taller de medicina tradicional a través de la herbolaria zapoteca SEPT",ONG - Arte y cultura
"Tierra de Artistas, A.C._Taller de Alebrijes y grecas Zapotecas SEPT",ONG - Arte y cultura
"Zamora Coaching INC, A.C._Zamora Coaching Inc. en redes sociales",Emprendimiento y desarrollo
"Menos plástico es Fantástico, AC_Diseño de un programa de turismo sustentable en el Caribe Mexicano con Menos Plástico es Fantástico",ONG - Medio ambiente
"Menos plástico es Fantástico, AC_Educación ambiental para la comunidad de Mahahual con Menos Plástico es Fantástico",ONG - Medio ambiente
WEEDS_Investigando para un mundo más verde,ONG - Medio ambiente
"Soñar Despierto, A.C._Vico Valores",ONG - Humanitaria
"Clínica Jurídica Penal del Tec de Monterrey, Campus Monterrey_Clínica Penal",ONG - Política y leyes
"ANSPAC, Asociación Nacional Pro Superación Personal A.C._Talleres Jóvenes que Trascienden ANSPAC MTY",ONG - Desarrollo humano
Fundacionplan.org - Plan SPAP A.C._Experiencia Plan,ONG - Humanitaria
Iniciativa Campana Altamira_Juega y aprende,ONG - Desarrollo humano
"Laboratorio de Arte, A.C._Actualización de acervo digital",ONG - Arte y cultura
Inclusión y Accesibilidad_Foro de Inclusión de Personas con Discapacidad,ONG - Humanitaria
Dirección de Servicio Social - Aprendizajes para todos_Aprendizajes para Todos: Tutor académico,Dirección Servicio Social Campus Mty.
"Instituto Nuevo Amanecer, A.B.P._Apoyo en programa de voluntariado",ONG - Humanitaria
"DIF Nuevo León_Construcción Cultural, Deportiva y Emocional para DIF Nuevo León",ONG - Humanitaria
"Liderazgo y Cultura Emprendedora, A.C._Embajadores y creadores de contenido para Pink society y Soy Plena",Emprendimiento y desarrollo
"Unidos Somos Iguales, A.B.P._Noches de Rol Unidos",ONG - Humanitaria
"Vecinos Fuentes del Valle, A.C._OFICINA VIRTUAL",ONG - Medio ambiente
"PRODAN, Prodefensa Animal, A.C._Préstame tu Casa",ONG - Medio ambiente
"Huellas que Trascienden, A.C._Coordinación de Proyectos HQT",Emprendimiento y desarrollo
"AICHE, American Institute of Chemical Engineering_Catalizando Ideas",Investigación
"Paso de Esperanza, A.C._Pasos de EsperanzAPP",ONG - Humanitaria
"Fundación F21, A.C._ArteSano + fundación F21",ONG - Arte y cultura
Patronato del Hospital Regional de Alta Especialidad Materno Infantil A.C_Programa Integral en áreas recreativas con pacientes,ONG - Salud
"SAITD, Sociedad de Alumnos de Ingenieria en Transformación Digital de Negocios_Computación para Todos - Campana Altamira",Sociedad de Alumnos ITESM
"CVA, Centro Virtual de Aprendizaje Tec de Monterrey_TransformaWEB - programador",Emprendimiento y desarrollo
Sacbé_Sacbe STEM,ONG - Humanitaria
Women in Tech_WitCode,ONG - Desarrollo humano
San Pedro Parques_Festival de la Nuez en San Pedro Parques,ONG - Arte y cultura
"SAIQ, Sociedad de Alumnos de Ingeniería Química_Sembrando Conciencia",Sociedad de Alumnos ITESM
Iniciativa Campana Altamira_Inclusión y amistad,ONG - Humanitaria
"Club Deportivo de Fútbol Americano Avispones, A.C._Coach de futbol americano",Actividades recreativas
"CVA, Centro Virtual de Aprendizaje Tec de Monterrey_Recíclate “Compartiendo Conocimiento” - Tutor en línea",ONG - Desarrollo humano
"AECOAH, Asociación de Estudiantes de Coahuila_La Alegria del Saber",ONG - Desarrollo humano
"SAIID, Sociedad de Alumnos de Ingeniería en Innovación y Desarrollo_Emprender para Todos",Sociedad de Alumnos ITESM
Andar México_Avanza,ONG - Humanitaria
"EIC, EHE y EAAD - Innovaction Gym_Edumakers para la inclusión",Emprendimiento y desarrollo
"SACPF, Sociedad de Alumnos de Licenciatura en Contaduría Pública y Finanzas_Cuenta Conmigo",Sociedad de Alumnos ITESM
BMES - Biomedical Engineering Society_MediCode,Investigación
"CVA, Centro Virtual de Aprendizaje Tec de Monterrey_SOCIAL SOUL CVA - Redes sociales",Emprendimiento y desarrollo
"SAIRS, Sociedad de Alumnos de Ingeniería en Robótica y Sistemas Digitales_Sin Miedo a la Corriente",Sociedad de Alumnos ITESM
"SALNB, Sociedad de Alumnos de Nutrición y Bienestar_NAFA - Nutrición y Actividad Física para el Adulto",Sociedad de Alumnos ITESM
"Cómo Vamos Nuevo León_EVAluando en Cómo Vamos, Nuevo León",ONG - Política y leyes
"SAIMT, Sociedad de Alumnos de Ingeniería en Mecatrónica_Minirobótica",Sociedad de Alumnos ITESM
La Cumbre Cotidiana A.C._Educación Ambiental - La Cumbre Cotidiana A.C.,ONG - Medio ambiente
"Viccali, Vida con Calidad, A.C._Semilleros de Paz",ONG - Humanitaria
"SAIDS, Sociedad de Alumnos de Ingeniero en Desarrollo Sustentable_Verde Mar",Sociedad de Alumnos ITESM
"AENL, Asociación de Estudiantes de Nuevo León_Altamira FC",ONG - Desarrollo humano
"Redes Quinto Poder IDEA, A.C._Brigadas de protección al medio ambiente",ONG - Medio ambiente
"Laboratorio de Arte, A.C._Mediadores de experiencias de arte contemporáneo",ONG - Arte y cultura
"Tierra de Artistas, A.C._Alquimistas de impacto",ONG - Arte y cultura
"SOSAC, Sociedad Sostenible, A.C._Tierra Urbana con SOSAC",ONG - Medio ambiente
"LIN, Dirección de Carrera de Licenciado en Negocios Internacionales_Care",Sociedad de Alumnos ITESM
"Best Buddies de México, A.C_Best Buddies Universidad",ONG - Humanitaria
"Sonrisas Monterrey AC_Dale Hype al Burnout - Innovación social, bienestar y tecnología..",ONG - Humanitaria
"Regalando Estrellas, A. C._Inspirarnos para vivir mejor",ONG - Humanitaria
Líderes del Mañana - ADUX_Colaboradores Académicos ADUX,ONG - Desarrollo humano
SALAEt - Sociedad de Alumnos de Licenciado en Estrategia y Transformación de Negocios_DOS – Descubriendo otros Superpoderes,Sociedad de Alumnos ITESM
Asociación Iknextia_Asesores Iknextia,ONG - Desarrollo humano
"Vecinos Fuentes del Valle, A.C._CENTRO DE ACOPIO Y PEPENA EN ZONA FUENTES DEL VALLE",ONG - Medio ambiente
"Emprendedores Líderes Generando la Evolución por México (Elige México), A.C._ELIGE SUMAR",Emprendimiento y desarrollo
Centro Jurídico y Formación Integral BufeTec_BUFETEC,ONG - Política y leyes
"Viccali, Vida con Calidad, A.C._Compartiendo la misión de paz",ONG - Humanitaria
"SOSAC, Sociedad Sostenible, A.C._Especies y Espacios con SOSAC",ONG - Medio ambiente
Iniciativa Campana Altamira_Fútbol para crecer,ONG - Desarrollo humano
Iniciativa Campana Altamira_Activación física en preescolares,ONG - Desarrollo humano
"SALTM, Sociedad de Alumnos de Licenciatura en Tecnologías y Producción Musical_Crescendo",Sociedad de Alumnos ITESM
Líderes del Mañana - ADUX_Mentores Académicos ADUX,ONG - Desarrollo humano
"Un Techo para mi País México, A.C._Voluntariado en Campo",ONG - Humanitaria
SALPS - Sociedad de Alumnos de Licenciado en Psicología Clínica y de la Salud_Programa preclínico,Sociedad de Alumnos ITESM
Iniciativa de plataformas - TEC de Monterrey_Soy Tutor,ONG - Desarrollo humano
"Proeducación IAP, Jóvenes Ayudando a Niñas y Niños_Tutorías para defender a la Educación",ONG - Desarrollo humano
"Tierra de Artistas, A.C._Taller de medicina tradicional a través de la herbolaria zapoteca OCT",ONG - Arte y cultura
"AIESEC México, A.C._Ciudadano Global AIESEC",ONG - Desarrollo humano
"Fundación Lazos, IAP_RP LAZOS CON PROPOSITO",ONG - Humanitaria
"SALRI, Sociedad de Alumnos de Licenciatura en Relaciones Internacionales_Realidad Migrante",Sociedad de Alumnos ITESM
WEEDS_Staff - Comunicando para un mundo más verde,ONG - Medio ambiente
"CONAFE, Consejo Nacional de Fomento Educativo_Matemáticas 360 en CONAFE",ONG - Desarrollo humano
"META, Impulso Deportivo y Académico, S.C._META: Impulsando atletas/estudiantes",ONG - Desarrollo humano
"Fundación F21, A.C._Aprender a Emprender - Fundación F21",Emprendimiento y desarrollo
"Fundación F21, A.C._A. Transformación Digital - Fundación F21",Emprendimiento y desarrollo
Community FIRST For Inspiration and Recognition of Science and Technology_Community FIRST: For Inspiration and Recognition of Science and Technology,Emprendimiento y desarrollo
"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C._Diseñando contenido de impacto con CIDEPO AC",Investigación
"Consejo de Seguridad de la información y ciberseguridad, A.C._Entrevistas presenciales sobre Creencias, Actitudes y Prácticas de Ciberseguridad Personal.",ONG - Desarrollo humano
WEEDS_Staff - Huertos de Esperanza en un mundo más verde,ONG - Medio ambiente
"Vecinos Fuentes del Valle, A.C._EL CAPITAN, Arboles y Plantas de ornato",ONG - Medio ambiente
"Tierra de Artistas, A.C._Taller de Alebrijes y grecas Zapotecas OCT",ONG - Arte y cultura
"SAIFI, Sociedad de Alumnos de Ingeniería Física Industrial_Calentando Ideas",Sociedad de Alumnos ITESM
SALAEt - Sociedad de Alumnos de Licenciado en Estrategia y Transformación de Negocios_Ángeles Emprendiendo,Sociedad de Alumnos ITESM
"Forma-T en Valores, A.C._Asesorías y tutoreo en línea",ONG - Desarrollo humano
EHE - Departamento de Lenguas Modernas_Inglés Comunicativo para Normalistas,ONG - Desarrollo humano
"CreeSer, A.B.P._Estrategia de Comunicación en Cultura de Paz",ONG - Humanitaria
"ACS, American Chemical Society Tecnológico de Monterrey_Convierte tu Cocina en una Biorefineria",ONG - Desarrollo humano
SALED - Sociedad de Alumnos de Licenciatura en Derecho_Un Mejor Mañana,Sociedad de Alumnos ITESM
"Centro VALIA, A.C._UNO hace la diferencia",ONG - Humanitaria
Red Unidos para Trascender de la Iniciativa Campana-Altamira_Cuentos para Crecer,ONG - Desarrollo humano
"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales_FrontIR",Sociedad de Alumnos ITESM
Festival Internacional Santa Lucia_Promotores Culturales en el Festival Santa Lucía 2022,ONG - Arte y cultura
"CVA, Centro Virtual de Aprendizaje Tec de Monterrey_GRAPHIC ARTISTS – Comunicación Visual",ONG - Desarrollo humano
Casa Monarca Ayuda Humanitaria al Migrante A.B.P._Newsletter Casa Monarca,Sociedad de Alumnos ITESM
"SAIFI, Sociedad de Alumnos de Ingeniería Física Industrial_Jaquemat",Sociedad de Alumnos ITESM
